Test of uncertainty in index of refraction in analysis of OMEGA EP Samples,,,,,,,,,,,,,,,
,,,Quartz 1,,,Olivine,,,Quartz 2,,,,,,
Sample #,Olivine IOR used,Laser drive to kapton on this side,Measured thickness,Integrated thickness leg 1,int thickness leg 2,Measured thickness,Integrated thickness leg 1,int thickness leg 2,Measured thickness,Integrated thickness leg 1,int thickness leg 2,Au layer thickness,,,
30744,1.64,,71.0,-,62,237.5,-,238,65.0,65,64,6,#VALUE!,0.210526316,#VALUE!
30747,1.64,,68.5,58,58,232.0,236,233,63.5,62,64,6,1.724137931,0.431034483,1.077586207
30750,1.64,,73.0,66,63,237.0,238,241,62.5,-,59,6,0.421940928,1.687763713,1.054852321
30753,1.64,,67.0,61,60,234.0,238,237,53.0,-,50,6,1.709401709,1.282051282,1.495726496
31844,1.64,,63.0,60,61,357.0,368,369,65.5,-,66,4.5,3.081232493,3.361344538,3.221288515
31849,1.64,,56.0,61,61,354.5,362,360,71.0,-,52,4.5,2.115655853,1.551480959,1.833568406
31854,1.64,,61.5,61,60,357.0,-,375,69.0,-,62,4.5,#VALUE!,5.042016807,#VALUE!
31859,1.64,,61.0,61,64,353.5,363,377,70.5,-,67,4.5,2.687411598,6.647807638,4.667609618
,,,,,,,,,,,,,,,
30744,1.67,,71.0,-,60,237.5,-,234,65.0,65,64,6,#VALUE!,-1.473684211,#VALUE!
30747,1.67,,68.5,58,58,232.0,232,229,63.5,62,64,6,0,-1.293103448,-0.646551724
30750,1.67,,73.0,66,63,237.0,235,238,62.5,-,60,6,-0.843881857,0.421940928,-0.210970464
30753,1.67,,67.0,61,60,234.0,234,232,53.0,-,50,6,0,-0.854700855,-0.427350427
31844,1.67,,63.0,60,61,357.0,361,362,65.5,-,66,4.5,1.120448179,1.400560224,1.260504202
31849,1.67,,56.0,61,61,354.5,356,353,71.0,-,52,4.5,0.423131171,-0.423131171,0
31854,1.67,,61.5,61,60,357.0,-,369,69.0,-,62,4.5,#VALUE!,3.361344538,#VALUE!
31859,1.67,,61.0,61,64,353.5,357,371,70.5,-,67,4.5,0.99009901,4.95049505,2.97029703
