112 atom LDA results,,,,,,,,,,,,,,
Density (g/cc),T (K),T err,E (MJ/kg),E err,P (GPa),P err,Heat capacity (Cv/nk),Heat Capacity err,Gruneisen paramter,gamma err,Up (km/s),Up err,Us (km/s),Us err
8,39553,128,58.661,0.352,1047,2,4.4,0.04,0.76,0.01,13.382,0.013,23.121,0.023
,,,,,,,,,,,,,,
112 atom PBE results,,,,,,,,,,,,,,
Density (g/cc),T (K),T err,E (MJ/kg),E err,P (GPa),P err,Heat capacity (Cv/nk),Heat Capacity err,Gruneisen paramter,gamma err,Up (km/s),Up err,Us (km/s),Us err
    5.5 ,  2966,119,-21.912,0.037,  161 ,1,3.66,0.65,1.3,0.04,  4.227 ,0.004,10.916,0.011
    6.0 ,  6297,105,-14.423,0.063,  256 ,1,4.9,0.26,1.04,0.01,  5.718 ,0.006,13.046,0.013
    6.5 ,10424,110,  -3.571 ,0.111,  385 ,1,4.52,0.19,0.96,0.02,  7.367 ,0.008,15.297,0.015
    7.0 ,17052,109,  11.725 ,0.169,  556 ,1,4.36,0.16,0.92,0.02,  9.207 ,0.009,17.754,0.018
    7.5 ,26826,134,  32.362 ,0.261,  776 ,2,4.23,0.16,0.83,0.03,11.222,0.012,20.378,0.021
    8.0 ,39482,164,  58.887 ,0.37,1047,2,4.41,0.08,0.76,0.02,13.376,0.014,23.111,0.024
    8.5 ,54970,181,  92.255 ,0.493,1376,3,4.82,0.09,0.71,0.02,15.673,0.016,25.967,0.027
    9.0 ,73007,166,133.553,0.48,1773,3,5.4,0.1,0.67,0.01,18.114,0.013,28.956,0.021
,,,,,,,,,,,,,,
224 atom PBE results,,,,,,,,,,,,,,
Density (g/cc),T (K),T err,E (MJ/kg),E err,P (GPa),P err,Heat capacity (Cv/nk),heat capacity err,Gruneisen parameter,gamma err,Up (km/s),,Us (km/s),
    5.5 ,  3040 ,  84 ,-21.819,0.019,  162 ,1,3.39,0.63,1.12,0.03,  4.251 ,0.002,10.977,0.006
    6.0 ,  6131 ,  85 ,-14.436,0.039,  256 ,1,4.36,0.37,1.09,0.02,  5.717 ,0.003,13.043,0.008
    6.5 ,10478,  93 ,  -3.561 ,0.076,  385 ,1,4.84,0.4,0.99,0.02,  7.369 ,0.005,15.304,0.011
    7.0 ,17010,  93 ,  11.689 ,0.132,  555 ,1,4.39,0.37,0.95,0.04,  9.203 ,0.007,17.747,0.014
    7.5 ,26764,117,  32.310 ,0.225,  775 ,2,4.33,0.39,0.82,0.05,11.218,0.01,20.372,0.018
    8.0 ,39473,130,  58.893 ,0.261,1047,2,4.3,0.19,0.76,0.03,13.377,0.01,23.113,0.017
