Olivine reference properties at 3.37 g/cc and 300 K,,,,,
Density (g/cm^3),Temperature K,Pressure (GPa), Energy (MJ/kg), Error (%), Pcorr (GPa)
PBE,,,,,
      6.0  ,  6300 ,  258 ,  34.63 ,  0.98 +/- 0.62 ,  2.6 +/- 1.7
      6.5  ,10500,  388 ,  55.79 , -0.67 +/- 0.78 , -2.6 +/- 3.1
      7.5  ,27000,  780 ,128.46,  0.07 +/- 0.52 ,  0.6 +/- 4.1
      8.0  ,39500,1040,178.84, -0.33 +/- 0.46 , -3.4 +/- 4.8
PBE+U,,,,,
  6.0  ,  6300 ,  256 ,  34.68 ,  1.84 +/- 0.61 ,  4.9 +/- 1.6
HSE06,,,,,
      6.0  ,  6300 ,  246 ,  33.97 ,  5.62 +/- 0.65 , 14.7 +/- 1.8
      6.5  ,10500,  374 ,  55.29 ,  3.23 +/- 0.83 , 12.5 +/- 3.3
      7.5  ,27000,  761 ,127.6,  2.48 +/- 0.54 , 19.4 +/- 4.2
      8.0  ,39500,1016,177.1,  1.46 +/- 0.50 , 15.1 +/- 5.2
